Jugadores;Posicion;Edad;Altura;Pie;Fichado;Equipo Anterior;Valor de mercado;Temporada;Club
Víctor López;Defensa central;31;1,8;izquierdo;07/07/2008;Real Sociedad;1300000;2009;Banfield
José Devaca;Defensa central;27;1,83;derecho;02/08/2013;Deportivo Capiatá;800000;2009;Banfield
Mauro dos Santos;Defensa central;20;1,88;derecho;01/07/2008;Libre;400000;2009;Banfield
Favio Segovia;Defensa central;21;1,89;derecho;01/01/2010;Libre;100000;2009;Banfield
Alejandro Delfino;Defensa central;20;1,82;derecho;01/01/2010;Libre;50000;2009;Banfield
Sebastián Méndez;Defensa central;32;1,77;derecho;01/07/2009;CA San Lorenzo de Almagro;-;2009;Banfield
Ariel Broggi;Lateral izquierdo;27;1,72;izquierdo;01/07/2007;Libre;1500000;2009;Banfield
Marcelo Bustamante;Lateral izquierdo;30;1,74;izquierdo;01/07/2008;Libre;1300000;2009;Banfield
José Shaffer;Lateral izquierdo;25;1,74;izquierdo;01/01/2010;SL Benfica;1300000;2009;Banfield
Nicolás Tagliafico;Lateral izquierdo;17;1,72;izquierdo;01/07/2010;Club Atlético Banfield Inferiores;50000;2009;Banfield
Julio Barraza;Lateral derecho;30;1,86;derecho;01/01/2001;Libre;900000;2009;Banfield
Santiago Ladino;Lateral derecho;29;1,75;derecho;01/07/2009;CA Gimnasia y Esgrima (Jujuy);500000;2009;Banfield
Nahuel Yeri;Lateral derecho;18;1,72;derecho;-;;75000;2009;Banfield
Gustavo Toledo;Lateral derecho;20;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;-;2009;Banfield
Maximiliano Bustos;Pivote;28;1,7;derecho;01/07/2008;Libre;1500000;2009;Banfield
Ariel Rosada;Pivote;32;1,81;derecho;01/07/2010;CA Boca Juniors;700000;2009;Banfield
Walter Erviti;Mediocentro;30;1,69;izquierdo;23/01/2014;CF Atlante;2000000;2009;Banfield
Sebastián Romero;Mediocentro;32;1,71;ambidiestro;01/07/2010;Club de Gimnasia y Esgrima La Plata;800000;2009;Banfield
Roberto Battión;Mediocentro;28;1,9;derecho;01/07/2009;Libre;800000;2009;Banfield
Emmanuel Pío;Mediocentro;21;1,8;derecho;01/02/2008;Libre;800000;2009;Banfield
Mathías Cardacio;Mediocentro;22;1,75;derecho;29/01/2010;Defensor Sporting Club;400000;2009;Banfield
Federico Sardella;Mediocentro;22;1,78;derecho;01/07/2005;Libre;200000;2009;Banfield
Marcelo Quinteros;Interior derecho;33;1,79;derecho;01/07/2009;CA San Martín (Tucumán);600000;2009;Banfield
Julio Marchant;Interior derecho;30;1,74;derecho;01/08/2009;Defensor Sporting Club;300000;2009;Banfield
Daniel Bilos;Interior izquierdo;29;1,94;izquierdo;01/07/2000;Club Sports Pergamino;-;2009;Banfield
James Rodríguez;Mediocentro ofensivo;18;1,81;izquierdo;01/01/2009;Libre;2500000;2009;Banfield
Marcelo Carrusca;Mediocentro ofensivo;26;1,72;izquierdo;01/07/2010;Libre;1000000;2009;Banfield
Maximiliano Laso;Mediocentro ofensivo;22;1,69;derecho;01/01/2007;Libre;400000;2009;Banfield
Pablo Vergara;Extremo izquierdo;21;1,74;izquierdo;01/01/2008;Libre;500000;2009;Banfield
Gabriel Méndez;Extremo izquierdo;22;1,69;izquierdo;01/07/2010;Deportivo Cuenca;400000;2009;Banfield
Sebastián Fernández;Mediapunta;25;1,71;derecho;01/07/2009;Defensor Sporting Club;2500000;2009;Banfield
Santiago Silva;Delantero centro;29;1,85;derecho;01/01/2016;Arsenal Fútbol Club;2500000;2009;Banfield
Rubén Ramírez;Delantero centro;27;1,85;derecho;01/01/2010;Libre;2000000;2009;Banfield
Emilio Zelaya;Delantero centro;22;1,86;derecho;01/07/2010;CA Rosario Central;1400000;2009;Banfield
Cristian García;Delantero centro;22;1,8;derecho;01/07/2008;Libre;1000000;2009;Banfield
Jerónimo Barrales;Delantero centro;23;1,86;derecho;01/01/2006;Libre;900000;2009;Banfield
Luis Salmerón;Delantero centro;28;1,8;derecho;01/08/2009;Libre;300000;2009;Banfield
Guido Di Vanni;Delantero centro;22;1,77;derecho;01/01/2010;Libre;200000;2009;Banfield
Facundo Ferreyra;Delantero centro;19;1,85;derecho;01/01/2011;Club Atlético Banfield Inferiores;-;2009;Banfield
Nicolás Bauchet;Delantero;21;1,8;;01/07/2009;Libre;-;2010;Banfield
Enrique Bologna;Portero;29;1,88;derecho;01/01/2022;Libre;900000;2010;Banfield
Pablo Santillo;Portero;31;1,8;derecho;01/07/2005;Club Atlético Atlanta;300000;2010;Banfield
Sebastián López;Portero;25;1,87;derecho;01/01/2005;Libre;50000;2010;Banfield
Mauro dos Santos;Defensa central;21;1,88;derecho;01/07/2008;Libre;1400000;2010;Banfield
Víctor López;Defensa central;32;1,8;izquierdo;07/07/2008;Real Sociedad;1300000;2010;Banfield
José Devaca;Defensa central;28;1,83;derecho;02/08/2013;Deportivo Capiatá;500000;2010;Banfield
Favio Segovia;Defensa central;22;1,89;derecho;01/01/2010;Libre;300000;2010;Banfield
Alejandro Delfino;Defensa central;21;1,82;derecho;01/01/2010;Libre;200000;2010;Banfield
Marcelo Bustamante;Lateral izquierdo;31;1,74;izquierdo;01/07/2008;Libre;1300000;2010;Banfield
Nicolás Tagliafico;Lateral izquierdo;18;1,72;izquierdo;01/07/2010;Club Atlético Banfield Inferiores;100000;2010;Banfield
Santiago Ladino;Lateral derecho;30;1,75;derecho;01/07/2009;CA Gimnasia y Esgrima (Jujuy);700000;2010;Banfield
Julio Barraza;Lateral derecho;31;1,86;derecho;01/01/2001;Libre;700000;2010;Banfield
Gustavo Toledo;Lateral derecho;21;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;500000;2010;Banfield
Nahuel Yeri;Lateral derecho;19;1,72;derecho;-;;75000;2010;Banfield
Maximiliano Bustos;Pivote;29;1,7;derecho;01/07/2008;Libre;1200000;2010;Banfield
Ariel Rosada;Pivote;33;1,81;derecho;01/07/2010;CA Boca Juniors;700000;2010;Banfield
Walter Erviti;Mediocentro;31;1,69;izquierdo;23/01/2014;CF Atlante;1800000;2010;Banfield
Sebastián Romero;Mediocentro;33;1,71;ambidiestro;01/07/2010;Club de Gimnasia y Esgrima La Plata;800000;2010;Banfield
Federico Sardella;Mediocentro;23;1,78;derecho;01/07/2005;Libre;700000;2010;Banfield
Emmanuel Pío;Mediocentro;22;1,8;derecho;01/02/2008;Libre;500000;2010;Banfield
Julián Guillermo;Mediocentro;21;1,78;derecho;01/01/2010;Cúcuta Deportivo;-;2010;Banfield
Marcelo Quinteros;Interior derecho;34;1,79;derecho;01/07/2009;CA San Martín (Tucumán);600000;2010;Banfield
Hernán Pereyra;Interior izquierdo;21;1,76;izquierdo;-;;100000;2010;Banfield
Cipriano Treppo;Interior izquierdo;19;-;;01/07/2012;Club Atlético Banfield Inferiores;-;2010;Banfield
Jonatan Gómez;Mediocentro ofensivo;21;1,71;derecho;01/02/2011;CA Rosario Central;1300000;2010;Banfield
Marcelo Carrusca;Mediocentro ofensivo;27;1,72;izquierdo;01/07/2010;Libre;1000000;2010;Banfield
Diego de Souza;Mediocentro ofensivo;27;1,75;izquierdo;01/01/2011;Defensor Sporting Club;900000;2010;Banfield
Maximiliano Laso;Mediocentro ofensivo;23;1,69;derecho;01/01/2007;Libre;50000;2010;Banfield
Diego Molina;Mediocentro ofensivo;18;1,77;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2010;Banfield
Gabriel Méndez;Extremo izquierdo;23;1,69;izquierdo;01/07/2010;Deportivo Cuenca;400000;2010;Banfield
Alejandro Barbaro;Extremo izquierdo;19;1,77;izquierdo;01/07/2011;Club Atlético Banfield Inferiores;-;2010;Banfield
Emilio Zelaya;Delantero centro;23;1,86;derecho;01/07/2010;CA Rosario Central;1300000;2010;Banfield
Rubén Ramírez;Delantero centro;28;1,85;derecho;01/01/2010;Libre;1300000;2010;Banfield
Cristian García;Delantero centro;23;1,8;derecho;01/07/2008;Libre;1000000;2010;Banfield
Jorge Achucarro;Delantero centro;29;1,74;derecho;01/01/2011;Atlas Guadalajara;1000000;2010;Banfield
Jerónimo Barrales;Delantero centro;24;1,86;derecho;01/01/2006;Libre;800000;2010;Banfield
Facundo Ferreyra;Delantero centro;20;1,85;derecho;01/01/2011;Club Atlético Banfield Inferiores;-;2010;Banfield
Emiliano Terzaghi;Delantero centro;18;1,7;;01/01/2012;Club Atlético Banfield Inferiores;-;2010;Banfield
Andrés Chávez;Delantero centro;20;1,84;izquierdo;01/07/2022;Club Jorge Wilstermann ;-;2010;Banfield
Nicolás Bauchet;Delantero;22;1,8;;01/07/2009;Libre;-;2011;Banfield
Cristian Lucchetti;Portero;34;1,82;derecho;01/07/1996;AA Luján de Cuyo;700000;2011;Banfield
Pablo Santillo;Portero;32;1,8;derecho;01/07/2005;Club Atlético Atlanta;300000;2011;Banfield
Mauro dos Santos;Defensa central;22;1,88;derecho;01/07/2008;Libre;1400000;2011;Banfield
Víctor López;Defensa central;33;1,8;izquierdo;07/07/2008;Real Sociedad;1100000;2011;Banfield
José Devaca;Defensa central;29;1,83;derecho;02/08/2013;Deportivo Capiatá;500000;2011;Banfield
Favio Segovia;Defensa central;23;1,89;derecho;01/01/2010;Libre;300000;2011;Banfield
Alejandro Delfino;Defensa central;22;1,82;derecho;01/01/2010;Libre;300000;2011;Banfield
Agustín Alayes;Defensa central;33;1,89;derecho;01/01/2012;Libre;250000;2011;Banfield
Adrián Reta;Defensa central;20;1,86;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2011;Banfield
Marcelo Bustamante;Lateral izquierdo;32;1,74;izquierdo;01/07/2008;Libre;1200000;2011;Banfield
Juan Eluchans;Lateral izquierdo;32;1,78;izquierdo;01/07/2011;CD Universidad Católica;800000;2011;Banfield
Ariel Broggi;Lateral izquierdo;29;1,72;izquierdo;01/07/2007;Libre;700000;2011;Banfield
Nicolás Tagliafico;Lateral izquierdo;19;1,72;izquierdo;01/07/2010;Club Atlético Banfield Inferiores;100000;2011;Banfield
Santiago Ladino;Lateral derecho;31;1,75;derecho;01/07/2009;CA Gimnasia y Esgrima (Jujuy);700000;2011;Banfield
Gustavo Toledo;Lateral derecho;22;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;500000;2011;Banfield
Gonzalo Bettini;Lateral derecho;19;1,71;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2011;Banfield
Ezequiel Carboni;Pivote;33;1,79;ambidiestro;07/07/2011;Libre;1200000;2011;Banfield
Roberto Brum;Pivote;28;1,74;derecho;12/01/2012;Club Olimpo;400000;2011;Banfield
Wálter Acevedo;Mediocentro;26;1,78;derecho;01/08/2011;Libre;800000;2011;Banfield
Rodrigo Pepe;Mediocentro;23;1,75;derecho;01/07/2011;Nueva Chicago;75000;2011;Banfield
Julián Guillermo;Mediocentro;22;1,78;derecho;01/01/2010;Cúcuta Deportivo;75000;2011;Banfield
Fabián Santana;Mediocentro;26;1,8;derecho;01/01/2005;Libre;-;2011;Banfield
Marcelo Quinteros;Interior derecho;35;1,79;derecho;01/07/2009;CA San Martín (Tucumán);600000;2011;Banfield
Hernán Pereyra;Interior izquierdo;22;1,76;izquierdo;-;;-;2011;Banfield
Jonatan Gómez;Mediocentro ofensivo;22;1,71;derecho;01/02/2011;CA Rosario Central;1500000;2011;Banfield
Diego de Souza;Mediocentro ofensivo;28;1,75;izquierdo;01/01/2011;Defensor Sporting Club;700000;2011;Banfield
Maximiliano Laso;Mediocentro ofensivo;24;1,69;derecho;01/01/2007;Libre;400000;2011;Banfield
Diego Molina;Mediocentro ofensivo;19;1,77;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2011;Banfield
Alejandro Barbaro;Extremo izquierdo;20;1,77;izquierdo;01/07/2011;Club Atlético Banfield Inferiores;500000;2011;Banfield
Facundo Ferreyra;Delantero centro;21;1,85;derecho;01/01/2011;Club Atlético Banfield Inferiores;3500000;2011;Banfield
Rodrigo López;Delantero centro;34;1,79;derecho;01/08/2011;Club Estudiantes de La Plata;1000000;2011;Banfield
Jorge Achucarro;Delantero centro;30;1,74;derecho;01/01/2011;Atlas Guadalajara;1000000;2011;Banfield
Emiliano Terzaghi;Delantero centro;19;1,7;;01/01/2012;Club Atlético Banfield Inferiores;-;2011;Banfield
Andrés Chávez;Delantero centro;21;1,84;izquierdo;01/07/2022;Club Jorge Wilstermann ;-;2011;Banfield
Iván Pérez;Centrocampista;23;1,75;izquierdo;30/07/2012;CA Independiente;200000;2012;Banfield
Nicolás Bauchet;Delantero;23;1,8;;01/07/2009;Libre;-;2012;Banfield
Nicolás González;Defensa;19;-;;-;;-;2012;Banfield
Federico Sarobe;Defensa;21;-;;-;;-;2012;Banfield
Pablo Santillo;Portero;33;1,8;derecho;01/07/2005;Club Atlético Atlanta;300000;2012;Banfield
Germán Caffa;Portero;32;1,9;derecho;09/08/2012;Club Nacional Asunción;300000;2012;Banfield
Alejandro Alcayaga;Portero;20;1,85;derecho;-;;-;2012;Banfield
Juan Pablo Ferreyra;Portero;25;1,82;derecho;01/01/2011;Club Atlético San Telmo;-;2012;Banfield
Marcelo Mosset;Defensa central;31;1,84;ambidiestro;26/07/2012;Club Atlético Tucumán;400000;2012;Banfield
Favio Segovia;Defensa central;24;1,89;derecho;01/01/2010;Libre;300000;2012;Banfield
Alejandro Delfino;Defensa central;23;1,82;derecho;01/01/2010;Libre;300000;2012;Banfield
Rubén Zamponi;Defensa central;26;1,87;derecho;19/07/2012;CA San Martín (San Juan);-;2012;Banfield
Adrián Reta;Defensa central;21;1,86;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2012;Banfield
Marco di Menno;Defensa central;20;1,77;derecho;01/01/2015;Club Atlético Banfield Inferiores;-;2012;Banfield
Fabián Noguera;Defensa central;20;1,92;derecho;01/07/2012;Club Atlético Banfield Inferiores;-;2012;Banfield
Marcelo Bustamante;Lateral izquierdo;33;1,74;izquierdo;01/07/2008;Libre;1200000;2012;Banfield
Ariel Broggi;Lateral izquierdo;30;1,72;izquierdo;01/07/2007;Libre;700000;2012;Banfield
Gustavo Toledo;Lateral derecho;23;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;500000;2012;Banfield
Marcos Galarza;Lateral derecho;29;1,8;derecho;22/07/2012;CA San Martín (San Juan);200000;2012;Banfield
Nahuel Yeri;Lateral derecho;21;1,72;derecho;-;;75000;2012;Banfield
Gonzalo Bettini;Lateral derecho;20;1,71;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2012;Banfield
Roberto Brum;Pivote;29;1,74;derecho;12/01/2012;Club Olimpo;400000;2012;Banfield
Cristian Leiva;Pivote;35;1,76;ambidiestro;24/07/2012;CA Huracán;200000;2012;Banfield
Fernando Medina;Pivote;19;1,73;;-;;-;2012;Banfield
Iván Rossi;Pivote;19;1,83;izquierdo;01/07/2013;Club Atlético Banfield Inferiores;-;2012;Banfield
Emanuel Cecchini;Pivote;16;1,79;derecho;01/07/2018;Málaga CF;-;2012;Banfield
Javier Rearte;Mediocentro;28;1,76;;30/01/2013;CSD Defensa y Justicia;100000;2012;Banfield
Juan Ezequiel García;Mediocentro;21;1,8;derecho;-;;-;2012;Banfield
Omar Zarif;Interior derecho;35;1,66;derecho;01/07/2012;CA Rosario Central;500000;2012;Banfield
Lihué Prichoda;Interior derecho;24;1,78;derecho;01/07/2013;Unión San Felipe;450000;2012;Banfield
Matías Díaz;Interior izquierdo;29;1,78;izquierdo;14/08/2012;CSD Defensa y Justicia;125000;2012;Banfield
Hernán Pereyra;Interior izquierdo;23;1,76;izquierdo;-;;-;2012;Banfield
Cipriano Treppo;Interior izquierdo;21;-;;01/07/2012;Club Atlético Banfield Inferiores;-;2012;Banfield
Ricardo Noir;Mediocentro ofensivo;26;1,76;derecho;01/07/2013;CA Boca Juniors;1000000;2012;Banfield
Pablo López;Mediocentro ofensivo;31;1,67;derecho;31/07/2012;Santiago Wanderers;450000;2012;Banfield
Diego Molina;Mediocentro ofensivo;20;1,77;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2012;Banfield
Jonathan Requena;Mediocentro ofensivo;17;1,74;derecho;-;;-;2012;Banfield
Alejandro Barbaro;Extremo izquierdo;21;1,77;izquierdo;01/07/2011;Club Atlético Banfield Inferiores;500000;2012;Banfield
Leandro Chetti;Extremo izquierdo;20;1,78;;-;;-;2012;Banfield
Andrés Silvera;Delantero centro;36;1,86;ambidiestro;01/07/2012;Club Atlético Belgrano;500000;2012;Banfield
Emiliano Terzaghi;Delantero centro;20;1,7;;01/01/2012;Club Atlético Banfield Inferiores;-;2012;Banfield
Cristian Molina;Delantero centro;21;-;;-;;-;2012;Banfield
Andrés Chávez;Delantero centro;22;1,84;izquierdo;01/07/2022;Club Jorge Wilstermann ;-;2012;Banfield
Nicolás Bauchet;Delantero;24;1,8;;01/07/2009;Libre;-;2013;Banfield
Nicolás González;Defensa;20;-;;-;;-;2013;Banfield
Federico Sarobe;Defensa;22;-;;-;;-;2013;Banfield
Enrique Bologna;Portero;32;1,88;derecho;01/01/2022;Libre;750000;2013;Banfield
Pablo Santillo;Portero;34;1,8;derecho;01/07/2005;Club Atlético Atlanta;300000;2013;Banfield
Germán Caffa;Portero;33;1,9;derecho;09/08/2012;Club Nacional Asunción;300000;2013;Banfield
César Rigamonti;Portero;27;1,86;derecho;15/07/2014;Club Atlético Belgrano;150000;2013;Banfield
Alejandro Alcayaga;Portero;21;1,85;derecho;-;;-;2013;Banfield
Juan Pablo Ferreyra;Portero;26;1,82;derecho;01/01/2011;Club Atlético San Telmo;-;2013;Banfield
Gaspar Servio;Portero;22;1,85;derecho;01/07/2014;Libre85 mil €;-;2013;Banfield
Nicolás Bianchi Arce;Defensa central;27;1,88;derecho;27/07/2014;Libre;700000;2013;Banfield
José Devaca;Defensa central;31;1,83;derecho;02/08/2013;Deportivo Capiatá;500000;2013;Banfield
Marcelo Mosset;Defensa central;32;1,84;ambidiestro;26/07/2012;Club Atlético Tucumán;400000;2013;Banfield
Favio Segovia;Defensa central;25;1,89;derecho;01/01/2010;Libre;300000;2013;Banfield
Alejandro Delfino;Defensa central;24;1,82;derecho;01/01/2010;Libre;300000;2013;Banfield
Rubén Zamponi;Defensa central;27;1,87;derecho;19/07/2012;CA San Martín (San Juan);-;2013;Banfield
Adrián Reta;Defensa central;22;1,86;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2013;Banfield
Marco di Menno;Defensa central;21;1,77;derecho;01/01/2015;Club Atlético Banfield Inferiores;-;2013;Banfield
Fabián Noguera;Defensa central;21;1,92;derecho;01/07/2012;Club Atlético Banfield Inferiores;-;2013;Banfield
Nicolás Tagliafico;Lateral izquierdo;21;1,72;izquierdo;01/07/2010;Club Atlético Banfield Inferiores;500000;2013;Banfield
Ariel Broggi;Lateral izquierdo;31;1,72;izquierdo;01/07/2007;Libre;-;2013;Banfield
Gustavo Toledo;Lateral derecho;24;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;500000;2013;Banfield
Marcos Galarza;Lateral derecho;30;1,8;derecho;22/07/2012;CA San Martín (San Juan);200000;2013;Banfield
Nahuel Yeri;Lateral derecho;22;1,72;derecho;-;;75000;2013;Banfield
Gonzalo Bettini;Lateral derecho;21;1,71;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2013;Banfield
Nicolás Domingo;Pivote;29;1,74;derecho;22/08/2021;Club Olimpia Asunción;750000;2013;Banfield
Cristian Leiva;Pivote;36;1,76;ambidiestro;24/07/2012;CA Huracán;200000;2013;Banfield
Iván Rossi;Pivote;20;1,83;izquierdo;01/07/2013;Club Atlético Banfield Inferiores;-;2013;Banfield
Emanuel Cecchini;Pivote;17;1,79;derecho;01/07/2018;Málaga CF;-;2013;Banfield
Walter Erviti;Mediocentro;34;1,69;izquierdo;23/01/2014;CF Atlante;850000;2013;Banfield
Javier Rearte;Mediocentro;29;1,76;;30/01/2013;CSD Defensa y Justicia;100000;2013;Banfield
Juan Ezequiel García;Mediocentro;22;1,8;derecho;-;;-;2013;Banfield
Omar Zarif;Interior derecho;36;1,66;derecho;01/07/2012;CA Rosario Central;500000;2013;Banfield
Lihué Prichoda;Interior derecho;25;1,78;derecho;01/07/2013;Unión San Felipe;450000;2013;Banfield
Matías Díaz;Interior izquierdo;30;1,78;izquierdo;14/08/2012;CSD Defensa y Justicia;125000;2013;Banfield
Enzo Trinidad;Interior izquierdo;17;1,79;izquierdo;-;;-;2013;Banfield
Ricardo Noir;Mediocentro ofensivo;27;1,76;derecho;01/07/2013;CA Boca Juniors;1000000;2013;Banfield
Jonatan Gómez;Mediocentro ofensivo;24;1,71;derecho;01/02/2011;CA Rosario Central;600000;2013;Banfield
Pablo López;Mediocentro ofensivo;32;1,67;derecho;31/07/2012;Santiago Wanderers;450000;2013;Banfield
Nilo Carretero;Mediocentro ofensivo;28;1,75;izquierdo;01/07/2007;CA Sarmiento (Junín);-;2013;Banfield
Juan Cazares;Mediocentro ofensivo;22;1,71;derecho;28/07/2014;Libre;-;2013;Banfield
Diego Molina;Mediocentro ofensivo;21;1,77;derecho;01/07/2011;Club Atlético Banfield Inferiores;-;2013;Banfield
Jonathan Requena;Mediocentro ofensivo;18;1,74;derecho;-;;-;2013;Banfield
Nicolás Bertolo;Extremo izquierdo;28;1,8;derecho;01/07/2022;CA Platense;1800000;2013;Banfield
Leandro Chetti;Extremo izquierdo;21;1,78;;-;;-;2013;Banfield
Santiago Salcedo;Delantero centro;32;1,83;derecho;05/08/2013;Club Cerro Porteño;1000000;2013;Banfield
Andrés Silvera;Delantero centro;37;1,86;ambidiestro;01/07/2012;Club Atlético Belgrano;-;2013;Banfield
Emiliano Terzaghi;Delantero centro;21;1,7;;01/01/2012;Club Atlético Banfield Inferiores;-;2013;Banfield
Cristian Molina;Delantero centro;22;-;;-;;-;2013;Banfield
Andrés Chávez;Delantero centro;23;1,84;izquierdo;01/07/2022;Club Jorge Wilstermann ;-;2013;Banfield
Enrique Bologna;Portero;33;1,88;derecho;01/01/2022;Libre;600000;2014;Banfield
Gaspar Servio;Portero;23;1,85;derecho;01/07/2014;Libre;500000;2014;Banfield
César Rigamonti;Portero;28;1,86;derecho;15/07/2014;Club Atlético Belgrano;150000;2014;Banfield
Fernando Pellegrino;Portero;29;1,98;derecho;02/02/2015;CSD Defensa y Justicia;100000;2014;Banfield
Alejandro Alcayaga;Portero;22;1,85;derecho;-;;75000;2014;Banfield
Iván Arboleda;Portero;19;1,85;derecho;01/07/2016;Club Atlético Banfield Inferiores;-;2014;Banfield
Facundo Altamirano;Portero;19;1,86;derecho;01/01/2017;Club Atlético Banfield Inferiores;-;2014;Banfield
Sergio Vittor;Defensa central;25;1,89;derecho;17/07/2019;Racing Club;1000000;2014;Banfield
Nicolás Bianchi Arce;Defensa central;28;1,88;derecho;27/07/2014;Libre;700000;2014;Banfield
José Devaca;Defensa central;32;1,83;derecho;02/08/2013;Deportivo Capiatá;250000;2014;Banfield
Favio Segovia;Defensa central;26;1,89;derecho;01/01/2010;Libre;250000;2014;Banfield
Fabián Noguera;Defensa central;22;1,92;derecho;01/07/2012;Club Atlético Banfield Inferiores;175000;2014;Banfield
Nicolás Tagliafico;Lateral izquierdo;22;1,72;izquierdo;01/07/2010;Club Atlético Banfield Inferiores;1000000;2014;Banfield
Alexis Soto;Lateral izquierdo;21;1,76;izquierdo;01/01/2016;Club Atlético Banfield Inferiores;-;2014;Banfield
Gustavo Toledo;Lateral derecho;25;1,75;derecho;01/07/2010;Club Atlético Banfield Inferiores;850000;2014;Banfield
Cristian Díaz;Lateral derecho;26;1,67;derecho;01/01/2015;CA Newell's Old Boys;500000;2014;Banfield
Gonzalo Bettini;Lateral derecho;22;1,71;derecho;01/07/2011;Club Atlético Banfield Inferiores;350000;2014;Banfield
Nahuel Yeri;Lateral derecho;23;1,72;derecho;-;;250000;2014;Banfield
Nicolás Domingo;Pivote;30;1,74;derecho;22/08/2021;Club Olimpia Asunción;750000;2014;Banfield
Jorge Rodríguez;Pivote;19;1,79;derecho;01/07/2014;Club Atlético Banfield Inferiores;200000;2014;Banfield
Iván Rossi;Pivote;21;1,83;izquierdo;01/07/2013;Club Atlético Banfield Inferiores;-;2014;Banfield
Agustín Farías;Pivote;27;1,78;derecho;09/07/2014;Nueva Chicago;-;2014;Banfield
Emanuel Cecchini;Pivote;18;1,79;derecho;01/07/2018;Málaga CF;-;2014;Banfield
Eric Remedi;Pivote;20;1,69;derecho;03/01/2023;San José Earthquakes;-;2014;Banfield
Maximiliano Calzada;Mediocentro;25;1,7;derecho;13/02/2015;Club Nacional;1000000;2014;Banfield
Walter Erviti;Mediocentro;35;1,69;izquierdo;23/01/2014;CF Atlante;600000;2014;Banfield
Juan Ezequiel García;Mediocentro;23;1,8;derecho;-;;150000;2014;Banfield
Lihué Prichoda;Interior derecho;26;1,78;derecho;01/07/2013;Unión San Felipe;450000;2014;Banfield
Omar Zarif;Interior derecho;37;1,66;derecho;01/07/2012;CA Rosario Central;-;2014;Banfield
Luciano Civelli;Interior izquierdo;28;1,86;izquierdo;05/01/2015;Universidad de Chile;1000000;2014;Banfield
Enzo Trinidad;Interior izquierdo;18;1,79;izquierdo;-;;900000;2014;Banfield
Juan Cazares;Mediocentro ofensivo;23;1,71;derecho;28/07/2014;Libre0 mil €;1500000;2014;Banfield
Ricardo Noir;Mediocentro ofensivo;28;1,76;derecho;01/07/2013;CA Boca Juniors;1000000;2014;Banfield
Matías Abelairas;Mediocentro ofensivo;30;1,7;izquierdo;06/01/2015;Libre;500000;2014;Banfield
Jonathan Requena;Mediocentro ofensivo;19;1,74;derecho;-;;350000;2014;Banfield
Miguel Escobar;Mediocentro ofensivo;19;1,71;derecho;01/01/2016;Club Atlético Banfield Inferiores;-;2014;Banfield
Nicolás Bertolo;Extremo izquierdo;29;1,8;derecho;01/07/2022;CA Platense;1800000;2014;Banfield
Leandro Chetti;Extremo izquierdo;22;1,78;;-;;250000;2014;Banfield
Mauricio Cuero;Extremo derecho;22;1,78;derecho;21/08/2020;Santos Laguna;700000;2014;Banfield
Facundo Castillón;Extremo derecho;29;1,73;derecho;09/07/2015;Racing Club;600000;2014;Banfield
Claudio Villagra;Extremo derecho;19;1,65;derecho;01/07/2017;Club Atlético Banfield Inferiores;100000;2014;Banfield
Thomas Rodríguez;Extremo derecho;19;1,84;derecho;01/01/2016;Club Atlético Banfield Inferiores;-;2014;Banfield
Giovanni Simeone;Delantero centro;19;1,8;derecho;06/07/2015;Libre;2000000;2014;Banfield
Santiago Salcedo;Delantero centro;33;1,83;derecho;05/08/2013;Club Cerro Porteño;900000;2014;Banfield
Lucas Viatri;Delantero centro;28;1,85;derecho;20/01/2015;Shanghai Greenland Shenhua;800000;2014;Banfield
Emiliano Terzaghi;Delantero centro;22;1,7;;01/01/2012;Club Atlético Banfield Inferiores;350000;2014;Banfield
Mauricio Asenjo;Delantero centro;20;1,85;derecho;01/07/2014;Club Atlético Banfield Inferiores;150000;2014;Banfield
Agustín Fontana;Delantero centro;19;1,76;derecho;01/01/2019;Club Atlético Banfield Inferiores;125000;2014;Banfield
Hilario Navarro;Portero;35;1,86;derecho;07/01/2016;Club Estudiantes de La Plata;350000;2015;Banfield
Iván Arboleda;Portero;20;1,85;derecho;01/07/2016;Club Atlético Banfield Inferiores;50000;2015;Banfield
Facundo Cambeses;Portero;19;1,85;derecho;01/01/2019;Club Atlético Banfield Inferiores;-;2015;Banfield
Claudio Pérez;Defensa central;30;1,88;derecho;22/01/2016;CA Boca Juniors;700000;2015;Banfield
Fabián Noguera;Defensa central;23;1,92;derecho;01/07/2012;Club Atlético Banfield Inferiores;600000;2015;Banfield
Carlos Matheu;Defensa central;31;1,82;derecho;01/01/2016;CSD Defensa y Justicia;300000;2015;Banfield
